ACETAMINOPHEN\CODEINE PHOSPHATE,143643,26
CYCLOSPORINE,143643,791
ERGOCALCIFEROL,143643,153
VALPROATE,143643,10
KETOROLAC TROMETHAMINE,143643,28
AMLODIPINE MESYLATE,143643,721
DIETARY SUPPLEMENT\HERBALS,143643,261
ARAVA,143643,1408
RISPERDAL M-TAB,143643,4
SINGULAIR,143643,159
TOPIRAMATE,143643,490
ROSUVASTATIN,143643,445
NAPROXEN,143643,94
GABAPENTIN,143643,97
DICLOFENAC DIETHYLAMINE,143643,148
BETAHISTINE,143643,89
PRADAXA,143643,11
PREDNISONE,143643,2790
MAGNESIUM CITRATE,143643,113
METFORMIN HYDROCHLORIDE,143643,37
DICLOFENAC SODIUM,143643,902
CYANOCOBALAMIN,143643,83
HYDROXYCHLOROQUINE SULFATE,143643,1402
TYLENOL,143643,69
CANDESARTAN,143643,170
COMBIVENT,143643,17
BENADRYL,143643,3
AMLODIPINE,143643,1729
FOSAMAX,143643,1171
CEFTRIAXONE,143643,29
DOCETAXEL,143643,82
BENZOCAINE (BENZOCAINE),143643,63
RITUXIMAB,143643,3005
BUPROPION,143643,182
UNSPECIFIED INGREDIENT,143643,1330
GOLIMUMAB,143643,272
BETAMETHASONE,143643,103
ACETAMINOPHEN,143643,2359
XYREM,143643,315
CETIRIZINE HYDROCHLORIDE,143643,1212
XOLAIR,143643,8077
VITAMIN D,143643,142
CELECOXIB,143643,571
CYTARABINE,143643,327
TOCILIZUMAB,143643,331
RIVOTRIL,143643,27
PREDNISOLONE,143643,99
PHTHALYLSULFATHIAZOLE,143643,1087
OMEGA 3,143643,17
NAPROXEN SODIUM,143643,311
RANITIDINE,143643,208
ACTEMRA,143643,11271
PHENOBARBITAL,143643,39
HYDROXYCHLOROQUINE DIPHOSPHATE,143643,23
MYRBETRIQ,143643,199
OPANA,143643,28
ZOPICLONE,143643,82
DICLOFENAC POTASSIUM,143643,451
ORENCIA,143643,1567
MAGNESIUM OXIDE,143643,73
REMICADE,143643,1493
VITAMIN D3,143643,294
TIMOLOL,143643,45
CALCIUM GLUBIONATE,143643,148
IXAZOMIB,143643,81
CORTISONE ACETATE,143643,690
LUNESTA,143643,29
HUMIRA,143643,1609
ERENUMAB,143643,199
ALBUTEROL SULFATE,143643,364
UBIDECARENONE,143643,63
LEVOFLOXACIN,143643,303
SERTRALINE,143643,89
GOLD SODIUM THIOMALATE,143643,323
HYDROCORTISONE,143643,134
PANTOPRAZOLE MAGNESIUM,143643,57
ALENDRONIC ACID,143643,193
WELLBUTRIN,143643,69
VANCOMYCIN,143643,106
RAMIPRIL,143643,572
CERTOLIZUMAB PEGOL,143643,493
CALCIUM CARBONATE,143643,170
HEPARIN,143643,42
SPIRIVA,143643,375
BERINERT,143643,100
PREDNISONE ACETATE,143643,298
METHOTREXATE SODIUM,143643,2502
DIETARY SUPPLEMENT,143643,31
ELIQUIS,143643,17
OXYCODONE TEREPHTHALATE,143643,100
NORVASC,143643,71
COSENTYX,143643,384
LEVOTHYROXINE,143643,862
CYCLOBENZAPRINE,143643,2651
INVOKANA,143643,42
BUDESONIDE,143643,85
TOPICORT,143643,125
IBUPROFEN,143643,428
CYPROHEPTADINE,143643,19
PULMICORT TURBUHALER,143643,19
POLYSORBATE 40,143643,74
DOCONEXENT,143643,63
MELOXICAM,143643,29
XELJANZ,143643,1718
POTASSIUM CHLORIDE,143643,17
ENBREL,143643,1842
MYOCHRYSINE,143643,133
DIPYRIDAMOLE,143643,512
CETIRIZINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,143643,1288
VITAMIN B12,143643,74
