Dementia,143643,1310
Tremor,143643,97
Therapeutic product effect incomplete,143643,673
Product use in unapproved indication,143643,2113
Hypogammaglobulinaemia,143643,36
Toxicity to various agents,143643,1403
Night sweats,143643,260
Deafness,143643,177
Galactorrhoea,143643,8
Lower respiratory tract infection,143643,695
Live birth,143643,246
Drug interaction,143643,1368
Joint range of motion decreased,143643,302
Hypoacusis,143643,23
Treatment failure,143643,899
Vitamin B12 decreased,143643,27
Tooth disorder,143643,119
Ulcer haemorrhage,143643,246
Lip dry,143643,505
Skin plaque,143643,12
Injection site reaction,143643,165
Musculoskeletal stiffness,143643,907
Grip strength decreased,143643,471
Fluid retention,143643,93
Wound,143643,835
Nausea,143643,938
Anuria,143643,25
Maternal exposure during pregnancy,143643,703
Fall,143643,1891
Hypoaesthesia,143643,313
Haemolysis,143643,26
Acute kidney injury,143643,22
Magnetic resonance imaging head abnormal,143643,10
Synovitis,143643,1088
Sinusitis,143643,556
Ear pain,143643,285
Abdominal pain upper,143643,442
Respiratory disorder,143643,246
Facet joint syndrome,143643,246
Product label confusion,143643,231
Pulmonary fibrosis,143643,422
Headache,143643,1019
Bone pain,143643,36
Gait disturbance,143643,480
Total lung capacity decreased,143643,21
Dehydration,143643,46
Adverse event,143643,422
Irritability,143643,39
Rash,143643,852
Congenital aplasia,143643,146
Dry mouth,143643,542
Off label use,143643,3168
Neutropenia,143643,29
Pericarditis,143643,684
Vomiting,143643,1103
Product quality issue,143643,483
Hypotension,143643,1491
Stupor,143643,5
Frustration tolerance decreased,143643,27
Systemic lupus erythematosus,143643,675
Product dispensing error,143643,147
Obesity,143643,260
Impaired healing,143643,260
Anxiety,143643,358
Drug intolerance,143643,891
Loss of personal independence in daily activities,143643,367
Drug tolerance,143643,246
Agitation,143643,15
Memory impairment,143643,276
Hepatic enzyme increased,143643,848
General physical health deterioration,143643,448
Cough,143643,634
Wheezing,143643,628
Peripheral swelling,143643,921
Overdose,143643,1354
Glossodynia,143643,490
Hepatitis,143643,423
Platelet count decreased,143643,91
Mobility decreased,143643,1556
Contraindicated product administered,143643,830
Illness,143643,184
Therapeutic product effect decreased,143643,1173
Abdominal pain,143643,478
Hypoxia,143643,152
Pyrexia,143643,639
Cerebrovascular accident,143643,223
Coeliac disease,143643,395
Intentional product use issue,143643,495
Diarrhoea,143643,510
Lung disorder,143643,556
Blood calcium decreased,143643,1310
Depressed level of consciousness,143643,1310
Therapy non-responder,143643,267
Prescribed overdose,143643,246
Drug abuse,143643,1310
Multiple drug therapy,143643,375
Blood pressure decreased,143643,112
Brain oedema,143643,16
Dizziness,143643,592
Feeling abnormal,143643,121
Fibromyalgia,143643,290
Creatinine renal clearance decreased,143643,1310
Weight increased,143643,1127
Swelling,143643,425
Exercise tolerance decreased,143643,51
Infusion related reaction,143643,794
Pemphigus,143643,669
Ectopic pregnancy,143643,11
Nasal neoplasm,143643,7
Intercepted product dispensing error,143643,7
Rheumatoid arthritis,143643,1142
Blood cholesterol increased,143643,395
Musculoskeletal pain,143643,260
Osteoarthritis,143643,160
Hemiplegia,143643,223
Stomatitis,143643,507
Red blood cell sedimentation rate increased,143643,611
Cerebral artery thrombosis,143643,223
Oedema peripheral,143643,325
Eye pruritus,143643,27
Condition aggravated,143643,1074
Joint swelling,143643,1680
Angina pectoris,143643,51
Insomnia,143643,1043
Anti-cyclic citrullinated peptide antibody positive,143643,735
Burning sensation,143643,37
Hand deformity,143643,501
Pain,143643,2243
Vaccination failure,143643,17
Weight decreased,143643,939
Areflexia,143643,223
Ulcer,143643,246
Hypertension,143643,637
Pruritus,143643,523
Cervical radiculopathy,143643,37
Drug hypersensitivity,143643,695
Migraine,143643,285
Panniculitis,143643,177
Hypersensitivity,143643,1086
Blood glucose abnormal,143643,43
Muscle injury,143643,505
Joint stiffness,143643,246
Respiratory failure,143643,239
Back pain,143643,88
Gastrointestinal disorder,143643,660
Hypercalcaemia,143643,177
Sedation,143643,1332
Carcinoid crisis,143643,20
Alanine aminotransferase increased,143643,177
Haematuria,143643,31
Taste disorder,143643,476
Graves' disease,143643,31
Rheumatoid factor positive,143643,422
Epilepsy,143643,246
Drug eruption,143643,190
Exposure during pregnancy,143643,564
Dyspepsia,143643,528
Productive cough,143643,165
Lower limb fracture,143643,541
Arthralgia,143643,1327
Obstructive airways disorder,143643,153
Drug ineffective,143643,1129
Rash pruritic,143643,177
Peripheral venous disease,143643,246
Kidney infection,143643,14
Injury,143643,250
Arthritis,143643,224
Intestinal ulcer,143643,77
Blood pressure increased,143643,253
Lyme disease,143643,16
Angiopathy,143643,17
Laryngitis,143643,246
Body temperature decreased,143643,112
Fatigue,143643,1624
Liver function test increased,143643,283
Fracture delayed union,143643,14
Syncope,143643,15
Prescribed underdose,143643,422
Decreased appetite,143643,166
Abdominal discomfort,143643,723
Sleep disorder,143643,290
Foetal exposure during pregnancy,143643,6
Adverse drug reaction,143643,376
Hip arthroplasty,143643,260
Dyspnoea,143643,2492
Herpes zoster,143643,23
Drug-induced liver injury,143643,231
Dyspnoea exertional,143643,171
Tooth injury,143643,13
Foot fracture,143643,91
Cardiogenic shock,143643,12
Skin ulcer,143643,177
C-reactive protein abnormal,143643,14
Endometriosis,143643,36
Pneumonia,143643,653
Multiple organ dysfunction syndrome,143643,179
Somnolence,143643,105
Disease recurrence,143643,290
Temporomandibular pain and dysfunction syndrome,143643,72
Nervousness,143643,24
Ocular hypertension,143643,37
Gait inability,143643,246
Folliculitis,143643,505
Cheilitis,143643,12
Paraesthesia,143643,339
Meningococcal sepsis,143643,17
Orthostatic hypotension,143643,1357
Nasal congestion,143643,265
Alopecia,143643,1099
Blood parathyroid hormone decreased,143643,353
Adjustment disorder with depressed mood,143643,246
Adverse reaction,143643,231
Amnesia,143643,246
Muscle spasms,143643,644
Flushing,143643,56
Metastases to bone,143643,10
Nerve compression,143643,40
Maternal exposure before pregnancy,143643,26
Pleural effusion,143643,32
Chondromalacia,143643,36
Medication error,143643,666
Product use issue,143643,1308
Localised infection,143643,106
Finger deformity,143643,231
Bursitis,143643,296
Nephrolithiasis,143643,48
Inflammation,143643,694
Arthropathy,143643,584
Drug tolerance decreased,143643,177
Infusion site reaction,143643,246
Road traffic accident,143643,191
Sensation of foreign body,143643,12
Wound infection,143643,246
Exostosis,143643,246
Rheumatoid nodule,143643,177
Perfume sensitivity,143643,15
Liver injury,143643,246
Creatinine renal clearance increased,143643,1310
Hereditary angioedema,143643,14
Cognitive disorder,143643,1316
Unevaluable event,143643,131
Blister,143643,271
Respiratory distress,143643,223
Skin exfoliation,143643,12
Myocardial ischaemia,143643,8
Throat irritation,143643,56
Dizziness postural,143643,87
Coronary artery thrombosis,143643,16
Coma,143643,19
Haemodynamic instability,143643,181
Hepatitis acute,143643,7
Influenza like illness,143643,47
Renal function test abnormal,143643,1310
Pulmonary congestion,143643,40
Spinal stenosis,143643,77
Irritable bowel syndrome,143643,247
Muscular weakness,143643,34
Trismus,143643,10
Onychomycosis,143643,165
Gastritis,143643,16
Loss of consciousness,143643,46
Eye pain,143643,29
Death,143643,147
Hepatic encephalopathy,143643,5
Joint warmth,143643,48
Sepsis,143643,42
Thrombocytopenia,143643,18
Lupus-like syndrome,143643,249
Hysterectomy,143643,36
Constipation,143643,1492
Sciatica,143643,246
Complex regional pain syndrome,143643,37
Oedema,143643,260
Superficial spreading melanoma stage unspecified,143643,22
Completed suicide,143643,53
Human polyomavirus infection,143643,23
Splenomegaly,143643,10
Swollen joint count increased,143643,410
Depression,143643,90
C-reactive protein increased,143643,177
Granuloma skin,143643,177
Breath sounds abnormal,143643,177
Ill-defined disorder,143643,260
Anaemia,143643,28
Hallucination,143643,215
Erythema,143643,211
Hyperhidrosis,143643,43
Non-Hodgkin's lymphoma,143643,352
Sedation complication,143643,1310
Clostridium difficile colitis,143643,146
Abdominal distension,143643,268
Electrocardiogram QT prolonged,143643,20
Palmar-plantar erythrodysaesthesia syndrome,143643,12
Osteoporosis,143643,77
Animal bite,143643,86
Asthma,143643,285
Respiratory tract congestion,143643,63
Type 2 diabetes mellitus,143643,521
Product administration error,143643,132
Skin discolouration,143643,14
Hip surgery,143643,16
Graft versus host disease,143643,131
Rash erythematous,143643,163
Bronchial hyperreactivity,143643,21
Malaise,143643,857
Urticaria,143643,345
Confusional state,143643,279
Tuberculin test positive,143643,222
Colorectal adenocarcinoma,143643,13
Coronary artery disease,143643,22
Tongue disorder,143643,33
Myalgia,143643,34
Rheumatic fever,143643,410
Blood pressure systolic abnormal,143643,148
Movement disorder,143643,165
Tic,143643,8
Basal cell carcinoma,143643,177
Sleep disorder due to a general medical condition,143643,246
Vertigo,143643,59
Blindness unilateral,143643,16
Forced expiratory volume decreased,143643,142
Pharyngitis streptococcal,143643,9
Liver function test abnormal,143643,50
Nasopharyngitis,143643,768
Insurance issue,143643,17
Rash pustular,143643,146
Gingival disorder,143643,4
Lung neoplasm malignant,143643,40
Pharyngitis,143643,8
Gallbladder disorder,143643,56
Snoring,143643,23
Aspartate aminotransferase increased,143643,177
Intervertebral disc protrusion,143643,20
Lower respiratory tract congestion,143643,134
Dysentery,143643,4
Craniofacial fracture,143643,2
Circumstance or information capable of leading to medication error,143643,7
Oesophageal stenosis,143643,9
Incorrect route of product administration,143643,246
Upper respiratory tract infection,143643,31
Thyroid disorder,143643,19
Contusion,143643,171
Blood pressure systolic increased,143643,175
Nerve injury,143643,37
Muscle tightness,143643,131
Necrotising herpetic retinopathy,143643,8
Chronic obstructive pulmonary disease,143643,39
Tuberculosis,143643,10
Back injury,143643,16
Bronchitis,143643,143
Rhinovirus infection,143643,51
Influenza,143643,141
Bladder disorder,143643,1421
Septic shock,143643,23
Eating disorder,143643,15
Helicobacter infection,143643,260
Duodenal ulcer perforation,143643,246
Pain in extremity,143643,209
Skin burning sensation,143643,44
Cardiac failure congestive,143643,73
Focal dyscognitive seizures,143643,23
Duodenal ulcer,143643,42
Weight fluctuation,143643,135
Facial paralysis,143643,223
Catheter site irritation,143643,11
Hypophagia,143643,14
Hypokinesia,143643,82
Quality of life decreased,143643,22
Compartment syndrome,143643,2
Clostridium difficile infection,143643,40
Neck pain,143643,24
Purpura,143643,30
Blood pressure diastolic decreased,143643,217
Nasal polyps,143643,74
Polydipsia,143643,24
Therapeutic response unexpected,143643,39
Therapeutic response decreased,143643,400
Unresponsive to stimuli,143643,34
Candida infection,143643,45
Loose body in joint,143643,14
Drug level above therapeutic,143643,11
Upper-airway cough syndrome,143643,15
Head injury,143643,14
Heart rate increased,143643,201
Skin infection,143643,82
Abscess limb,143643,12
Arrhythmia,143643,5
Chest discomfort,143643,30
Cytomegalovirus colitis,143643,5
Hepatic cancer,143643,16
Humerus fracture,143643,13
Balance disorder,143643,1333
Atrial fibrillation,143643,58
Acute lymphocytic leukaemia recurrent,143643,23
Toxic epidermal necrolysis,143643,6
Hiatus hernia,143643,36
Pneumothorax,143643,16
Tooth infection,143643,31
Polyhydramnios,143643,39
Disease progression,143643,24
SARS-CoV-2 test positive,143643,57
Discomfort,143643,289
"Sleep disorder due to general medical condition, insomnia type",143643,260
Cold sweat,143643,26
Hip fracture,143643,51
Visual impairment,143643,15
Lymphopenia,143643,37
Acute hepatic failure,143643,6
Intestinal haemorrhage,143643,10
Nail disorder,143643,165
Knee arthroplasty,143643,260
Diabetes mellitus,143643,60
Colitis,143643,146
Spinal operation,143643,18
Placental insufficiency,143643,14
Mouth ulceration,143643,42
Lacrimation increased,143643,27
Jaw fracture,143643,13
Hyperkeratosis,143643,22
Osteopenia,143643,36
Asphyxia,143643,14
Anaphylactic reaction,143643,52
Parkinson's disease,143643,74
Tooth abscess,143643,8
Limb deformity,143643,14
Infective pulmonary exacerbation of cystic fibrosis,143643,8
Dust allergy,143643,15
Chromaturia,143643,14
Blood immunoglobulin E decreased,143643,7
Drug reaction with eosinophilia and systemic symptoms,143643,7
Health assessment questionnaire score increased,143643,112
Swelling face,143643,112
Pregnancy,143643,11
Vasculitis necrotising,143643,16
Limb discomfort,143643,31
Speech disorder,143643,71
Rhinitis allergic,143643,48
Laryngospasm,143643,24
Post transplant lymphoproliferative disorder,143643,38
Dysmenorrhoea,143643,23
Onychomadesis,143643,171
Hyperthyroidism,143643,31
Neuropathy peripheral,143643,29
Mood swings,143643,16
Splenic rupture,143643,6
Malignant melanoma stage I,143643,22
Central sleep apnoea syndrome,143643,13
Metastases to liver,143643,20
Skin necrosis,143643,177
Dengue fever,143643,9
Platelet count increased,143643,14
Throat clearing,143643,15
Neuralgia,143643,67
Proteus test positive,143643,146
Lung hyperinflation,143643,13
Skin disorder,143643,7
Candida sepsis,143643,8
Heart rate decreased,143643,149
Electrocardiogram ST segment elevation,143643,3
Myelosuppression,143643,17
Blood pressure systolic decreased,143643,112
Multiple fractures,143643,15
Myoclonus,143643,28
Flank pain,143643,37
Hepatic function abnormal,143643,23
Nail operation,143643,165
Encephalitis herpes,143643,6
Thyroid mass,143643,31
Appendicitis,143643,4
Albumin urine present,143643,61
Febrile neutropenia,143643,23
Haemoglobin increased,143643,14
Pyelonephritis,143643,31
Infection,143643,246
Abnormal behaviour,143643,26
Small intestinal obstruction,143643,2
Ischaemic stroke,143643,223
Renal impairment,143643,18
Cataract,143643,57
Blood pressure fluctuation,143643,148
Acute graft versus host disease in intestine,143643,116
Staphylococcal infection,143643,66
Oxygen saturation decreased,143643,307
Ammonia increased,143643,5
Pleuritic pain,143643,31
Dermatitis infected,143643,146
Gingival hypertrophy,143643,4
Depressed mood,143643,27
Central nervous system lymphoma,143643,8
Middle insomnia,143643,63
Blood thyroid stimulating hormone decreased,143643,31
Intentional overdose,143643,47
Tendonitis,143643,36
Breast feeding,143643,11
Ischaemic cerebral infarction,143643,15
Haemolytic anaemia,143643,17
Nephrocalcinosis,143643,10
Hyperaesthesia,143643,20
Soft tissue injury,143643,112
Tachycardia foetal,143643,6
Circulatory collapse,143643,20
Poliomyelitis,143643,7
Pneumonia bacterial,143643,13
Mania,143643,4
Tenderness,143643,77
Trichosporon infection,143643,7
Surgery,143643,31
Pre-existing condition improved,143643,13
Parkinsonism,143643,5
Asthenia,143643,129
Lipoma,143643,10
Nervous system disorder,143643,9
Incorrect dose administered,143643,121
Psoriatic arthropathy,143643,246
Vasculitis,143643,72
Bronchopulmonary aspergillosis,143643,146
Leukocytosis,143643,10
Hair growth abnormal,143643,19
Device malfunction,143643,5
Urinary tract infection bacterial,143643,14
Malignant neoplasm progression,143643,20
Sneezing,143643,37
Brain scan abnormal,143643,223
Drug level decreased,143643,10
